"Анкетирование ""Опрос по IT-инфраструктуры-студентам""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 27557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 23.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 1231 или 4% от найденных или 4% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
Онлайн платформы для дистанционного обучения, вебинары, электронные учебники
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
22184181;2025-12-26 18:40;Бакалавриат;Институт Естественных наук;Кафедра Химии;Химия;4;Русский язык;Русский язык;Бакалавр;факультет естественных наук;Удовлетворительное;Недостаток установленного ПО;Хорошо;Мобильность комплекса;Хороший;проблемы в отдельных блоках как инженерский корпус или спортивный комплекс.;Нет;Не использую;Облачное хранилище;Удовлетворительная;Иногда;Очень удобно;пока больших проблем не вижу;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;облачные сервисы в основном. остальными функциями не пользуюсь в территории университета;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Сокращение затрат времени и ресурсов;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;не знаю;8.0;В полной мере соответствуют;Работать с ними по большей части неудобно, слишком сложно;8.0;8.0;9.0;8.0;7.0;5.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;8.0;при ошибке в модуле для исправления ошибки требуется много времени. хотелось бы скорости от специалистов;Мобильное приложение Smart.ENU, Терминал электронной очереди, Хранилище заключительных отчетов проектов, Сайт ЕНУ, Сайт факультетов, Сайты научных журналов;7.0;8.0;нет;8.0
22184188;2025-12-26 11:39;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;4;Казахский язык;Русский язык;Бакалавр;G;Неудовлетворительное;Медленная загрузка;Удовлетворительно;Встроенный компьютер;Отличный;T;Да, активно;Средне;Корпоративная почта;Удовлетворительная;Редко;Неудобно;Z;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;T;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;T;4.0;Скорее не соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;4.0;3.0;5.0;3.0;2.0;3.0;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Совсем не обеспечивают;4.0;G;Сайт ЕНУ;2.0;3.0;T;2.0
22184198;2025-12-27 11:18;Бакалавриат;Институт Цифровых наук и искусственного интеллекта;Кафедра Информатики;Подготовка учителей информатики;4;Казахский язык;Русский язык;Бакалавр;Информатика;Хорошее;Медленная загрузка;Хорошо;Большой экран;Хороший;Нет;Иногда;Удобны;Корпоративная почта;Хорошая;Никогда;Удобно;Харашо;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Питон;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Никакий;10.0;В полной мере соответствуют;Работать с ними по большей части неудобно, слишком сложно;10.0;10.0;10.0;10.0;10.0;10.0;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;10.0;10;Сайт ЕНУ;10.0;10.0;Харашо;10.0
22184328;2025-12-29 19:27;Бакалавриат;Архитектурно-строительный;Кафедра Архитектура;Архитектура;5;Казахский язык;Русский язык;Бакалавр;зщорасм;Отличное;Нет проблем;Отлично;Сенсорное управление;Отличный;ороюрщбьбомрпвачпролд;Да, активно;Очень удобны;Облачное хранилище;Отличная;Иногда;Очень удобно;ывапролджюбьимс свапролдб;Начинающий: минимальные знания и опыт использования цифровых инструментов.;яывпаролдбьтимсм мсмпролб;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;ячпролдюбьт вапролдж;6.0;Затрудняюсь ответить;Работать с ними по большей части неудобно, слишком сложно;10.0;10.0;9.0;6.0;8.0;5.0;Практически не интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;6.0;вапролдьти ол;Система онлайн голосования диссертационных советов;9.0;9.0;арольт мпролбь;6.0
22184331;2025-12-29 13:23;Бакалавриат;Архитектурно-строительный;Кафедра Архитектура;Архитектура;5;Казахский язык;Русский язык;Бакалавр;АСФ;Удовлетворительное;Недостаточная производительность;Хорошо;Мобильность комплекса;Удовлетворительный;Вроде бы работает, но внезапно пропадает.. 🥲 Я когда мы работаем в программе… нам необходим Wi-Fi;Да, активно;Очень удобны;Облачное хранилище;Хорошая;Редко;Затрудняюсь ответить;Желательно чтобы в каждой аудитории была интерактивная доска. Чтобы туда-сюда её не таскать 🥲 Иногда даже бывает такое что не хватает и приходится показывать все через ноутбуки где ничего толком не видно!;Экспертный: глубокое понимание и мастерство в использовании цифровых инструментов, способность к инновациям и разработке новых методов.;На всех программах работаю!;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;…;9.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;9.0;9.0;9.0;9.0;10.0;10.0;Полностью интегрированы с другими системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;10.0;…;Портал “Выпускник”, Сайт ЕНУ;9.0;10.0;…;10.0
22184377;2025-12-28 16:54;Бакалавриат;Архитектурно-строительный;Кафедра Дизайн и инженерная графика;Мода, дизайн;5;Казахский язык;Русский язык;Бакалавр;асф;Хорошее;Недостаток установленного ПО;Удовлетворительно;Большой экран;Удовлетворительный;в аудитории;Редко;Средне;Корпоративная почта;Хорошая;Иногда;Удобно;нет;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;не знаю;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;не знаю;3.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;4.0;4.0;5.0;5.0;5.0;4.0;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;5.0;не знаю;Мобильное приложение Smart.ENU, Занятость обучающихся и выпускников, Формирование плана и отчета реализации Операционного плана ЕНУ им.Л.Н. Гумилева, Сайт ЕНУ, Сайты научных журналов;5.0;5.0;нет;3.0
22184429;2025-12-27 15:15;Бакалавриат;Архитектурно-строительный;Кафедра Дизайн и инженерная графика;Мода, дизайн;5;Казахский язык;Русский язык;Бакалавр;асф;Неудовлетворительное;Недостаток установленного ПО;Хорошо;Большой экран;Удовлетворительный;в кабинете 507;Иногда;Удобны;Онлайн-документы;Плохая;Часто;Удобно;не знаю;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;гугл;Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач;Улучшение качества обучения и обратной связи;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;не знаю;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;7.0;7.0;7.0;7.0;7.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;5.0;не знаю;Сайт ЕНУ;7.0;7.0;не знаю;7.0
22184447;2025-12-29 19:08;Бакалавриат;Архитектурно-строительный;Кафедра Дизайн и инженерная графика;Мода, дизайн;5;Русский язык;Русский язык;Бакалавр;АСФ;Удовлетворительное;Недостаточная производительность;Удовлетворительно;Мобильность комплекса;Хороший;В некоторых ацдиториях;Иногда;Удобны;Онлайн-документы;Хорошая;Иногда;Неудобно;Установить больше турникетов в АСФ корпусе, тем самым снизится нагрузка и не будет толкучки;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Различные инструменты в рамках своей учебы;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;Затрудняюсь ответить;8.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;8.0;8.0;8.0;8.0;10.0;9.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;8.0;После недавнего обновления пока нет нареканий;Мобильное приложение Smart.ENU;8.0;8.0;Пока нет;8.0
22184505;2025-12-27 01:30;Бакалавриат;Институт Физико–технических наук;Кафедра Ядерной физики, новых материалов и технологий;Физика;5;Русский язык;Русский язык;Бакалавр;фтф;Хорошее;Нет проблем;Хорошо;Большой экран;Удовлетворительный;не знаю;Нет;Не использую;Онлайн-документы;Хорошая;Иногда;Удобно;нет;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;нет;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Улучшение коммуникации и совместной работы;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;нет;8.0;Затрудняюсь ответить;Затрудняюсь ответить;8.0;8.0;8.0;8.0;8.0;8.0;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;8.0;-;Затрудняюсь ответить;8.0;8.0;-;8.0
22184548;2025-12-26 12:45;Бакалавриат;Институт Физико–технических наук;Кафедра Ядерной физики, новых материалов и технологий;Физика;5;Казахский язык;Русский язык;Бакалавр;Институт Физико-Технических наук;Не пользовался(ась);Нет проблем;Отлично;Сенсорное управление;Хороший;На 4 этаже лаборатории;Да, активно;Очень удобны;Онлайн-документы;Хорошая;Редко;Удобно;Нет;Экспертный: глубокое понимание и мастерство в использовании цифровых инструментов, способность к инновациям и разработке новых методов.;Excel, Word, Canva, etc.;Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах, Затрудняюсь ответить;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Затрудняюсь ответить;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Не знаю;8.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;5.0;5.0;4.0;3.0;5.0;3.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Затрудняюсь ответить;Затрудняюсь ответить;5.0;Нет;Сайт ЕНУ, Сайт факультетов, Сайты научных журналов;4.0;4.0;Нет;2.0
