"Анкетирование ""Опрос по IT-инфраструктуры ППС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 2733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 22.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 300 или 11% от найденных или 11% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;штатный;;Внутренний совместитель;;Внешний совместитель;;Иностранный преподаватель;Академическая степень;Академический статус;Полный стаж работы;Стаж работы в ВУЗе;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
;;Кафедра;Должность;Кафедра;Должность;Кафедра;Должность;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22216927;2025-12-27 07:21;Кафедра Иностранных языков (международные отношения);ст. преподаватель;;;;;Нет;Магистр;—;38;15;Русский язык;Другой (преподаватеь);международные отношения;Удовлетворительное;Медленная загрузка;Удовлетворительно;Большой экран;Плохой;во многих еабинетах главного корпуса;Редко;Средне;Облачное хранилище;Удовлетворительная;Иногда;Удобно;доступ к интернету во всех аудиториях;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;различные приложения с ипользованием игр и тестов;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;те, что улучшат мое занятие со студентами;4;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5;4;4;4;4;4;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;4;в целом все хорошо;3.0;4.0;4.0;нет;4.0
22216937;2025-12-29 23:03;Кафедра Химии;доцент;;;;;Нет;Кандидат наук;Доцент;43;27;Русский язык;Другой (доцент);Факультет естественых наук;Удовлетворительное;Нет проблем;Удовлетворительно;Большой экран;Хороший;нет;Да, активно;Удобны;Облачное хранилище;Хорошая;Иногда;Удобно;заменить компьютеры на кафедрах преподавателем;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;АИС «Платон», SmartENU,;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;АИС «Платон», SmartENU,;7;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;7;5;9;7;5;5;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;8;все доступно;8.0;8.0;8.0;нет;8.0
22216977;2025-12-26 15:43;Кафедра Социологии;ст. преподаватель;;;;;Нет;Кандидат наук;—;35;14;Русский язык;Другой (ППС);ФЖиСН;Неудовлетворительное;Недостаточная производительность, Медленная загрузка;Удовлетворительно;Мобильность комплекса;Плохой;101 У, и т.д.;Да, активно;Удобны;Облачное хранилище;Плохая;Часто;Неудобно;Больше интерактивных досок с доступом в интернет. И улучшить доступ к интернету во всех аудиторияз фсн;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Теамс, Платонус, outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Улучшение качества обучения и обратной связи;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Интерактивная доска во всех аудиториях;7;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;6;6;7;7;6;7;Практически не интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;8;Безопасность улучшить и работу;3.0;5.0;3.0;Убрать ее;4.0
22216985;2025-12-28 19:30;Кафедра Педагогики;ст. преподаватель;;;;;Нет;Кандидат наук;—;33;14;Русский язык;Другой (преподаватель);ВШО;Хорошее;Недостаток установленного ПО, Медленная загрузка;Хорошо;Сенсорное управление;Удовлетворительный;3 ЭТАЖ ФСН;Иногда;Удобны;Онлайн-документы;Отличная;Иногда;Удобно;"1. Снижение бумажной нагрузки и ускорение процессов
2. Антивирусная защита и мониторинг угроз
3. Защита персональных данных и устойчивость к кибератакам";Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;"Платонус
 Сайт ЕНУ
 СмартЕНУ
Microsoft Teams";Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Сокращение затрат времени и ресурсов;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Цифровые инструменты для эффективного составления расписания преподавателя!!!!;8;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;8;8;9;9;8;5;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;10;НЕТ;1.0;10.0;10.0;НЕТ;8.0
22216986;2025-12-27 14:23;Кафедра Печати и издательского дела;ст. преподаватель;;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);13;16;Русский язык;Другой (Доцент);Журналистики и социальных наук;Хорошее;Нет проблем;Хорошо;Большой экран;Хороший;В 301, 207 ауд;Да, активно;Очень удобны;Онлайн-документы;Хорошая;Иногда;Удобно;Неплохо было бы поставить в каждом кабинете интерактивные доски;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Компьютеры, интерактивные панели;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Недостаточное обучение и поддержка для эффективного использования цифровых инструментов, что создает трудности при освоении новых технологий;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;Свободные компьютерные классы;9;В полной мере соответствуют;Работать с ними очень удобно и просто;9;9;9;9;9;9;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;9;Нет;9.0;9.0;9.0;Нет;9.0
22216987;2025-12-30 09:35;Кафедра Печати и издательского дела;Профессор (исполняющий обязанности);;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);14;14;Русский язык;Другой (Оқытушы);ФЖиСН;Неудовлетворительное;Недостаток установленного ПО;Удовлетворительно;Мобильность комплекса;Плохой;шеткі кабинеттерде;Редко;Средне;Корпоративная почта;Удовлетворительная;Иногда;Удобно;Соңғы үлгідегіні қою керек.;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Платонус, Смарт ЕНУ;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Платонус;5;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;6;6;8;7;9;8;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;3;"БАЛЛ қойылатын күндері ""тұншығып"" қалады. Жақсарту керек.";2.0;6.0;5.0;Норм;4.0
22216989;2025-12-26 12:07;Кафедра Ядерной физики, новых материалов и технологий;Преподаватель-исследователь;;;;;Нет;Кандидат наук;Профессор;13;15;Русский язык;Другой (преподаватель);Институт физико-технических наук;Хорошее;Недостаточная производительность;Хорошо;Большой экран;Хороший;Проблемы с подключением к сети Wi-Fi наблюдаются в аудиториях;Иногда;Средне;Онлайн-документы;Хорошая;Иногда;Неудобно;Регулярно обновлять программное обеспечение и усиливать информационную безопасность.;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Электронную почту,  Онлайн-сервисы видеосвязи — Zoom, Microsoft Teams, Google Meet;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Стабильная и высокоскоростная сеть Wi-Fi во всех аудиториях;9;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9;9;9;9;9;8;Полностью интегрированы с другими системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;10;нет;9.0;9.0;9.0;упростить и сделать более интуитивным интерфейс для преподавателей;9.0
22216995;2025-12-30 21:10;Кафедра Психологии;ст. преподаватель;;;;;Нет;Кандидат наук;—;28;23;Русский язык;Другой (оқытушы);ФЖСН;Хорошее;Недостаток установленного ПО, Медленная загрузка;Хорошо;Большой экран;Удовлетворительный;в корпусе ФЖСН циси на  этаже в аудитории 121, 122;Иногда;Удобны;Онлайн-документы;Хорошая;Иногда;Очень удобно;пересмотреть перебои в доступе к сервисам;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Платонус, Сайт, СмартЕНУ,;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;интернеттің жылдамдығын жақсарту;8;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;8;8;8;9;8;8;Затрудняюсь ответить;Предоставляют частично;Скорее обеспечивают;10;МООК онлайн дәріс пен Платонустағы қойылатын бағаларды автоматты түрде қойылатындай етіп байланыстыру қажет. Өйткен ООД пәннен берілген дәрістен кейінгі тапсырмалардан алған бағаны Платонусқа қою уақыт алады, мысалы Психология пәні бойынша 500-600 студентке баға қою өте қиын.;8.0;7.0;8.0;нет;9.0
22217001;2025-12-30 12:12;Кафедра Общей и теоретической физики;ст. преподаватель;;;;;Нет;Кандидат наук;—;13;17;Русский язык;Другой (Зав каф);ИФТН;Хорошее;Недостаточная производительность;Отлично;Сенсорное управление;Удовлетворительный;Нет;Иногда;Неудобны;Корпоративная почта;Хорошая;Редко;Очень удобно;Объединить все системы.;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Платонус, директум, смарт;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;улучшить работу почты.;6;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;6;8;6;6;2;7;Практически не интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Обеспечивают в полной мере;8;Возможность редактирования заведующим и директором. Особенно у зарубежных профессоров.;10.0;9.0;10.0;Не вижу необходимости использования ЭЦП.;5.0
